EmployeeID,Salary,PerformanceRating,SalaryStartDate
101,70000,4,2022-01-15
101,72000,4,2023-01-01
102,65000,3,2021-06-01
102,68000,3,2023-01-01
103,60000,5,2021-11-20
103,61000,5,2022-12-01
104,80000,4,2020-08-10
104,82000,4,2023-01-01
105,55000,3,2019-04-25
105,57000,3,2022-05-01
106,65000,5,2021-06-01
106,67000,5,2022-12-01
107,85000,4,2021-10-01
107,88000,4,2023-01-01
108,72000,3,2023-02-01
109,51000,2,2018-12-15
109,53000,2,2021-06-01
110,76000,5,2022-05-21
110,78000,5,2023-01-01
111,64000,3,2019-09-10
111,66000,3,2023-01-01
112,68000,4,2021-03-01
112,70000,4,2023-01-01
113,52000,2,2017-11-11
113,54000,2,2023-01-01
114,81000,4,2019-05-15
114,83000,4,2023-01-01
115,60000,3,2020-07-20
115,63000,3,2023-01-01
116,70000,4,2023-01-01
117,82000,4,2021-11-01
117,84000,4,2023-01-01
118,54000,3,2018-03-10
118,56000,3,2023-01-01
119,65000,4,2020-06-10
119,67000,4,2023-01-01
120,75000,5,2021-10-15
120,78000,5,2023-01-01